"id","category","rule_name","symptom_keywords","trigger_condition","risk_level","is_immediate_vet","recommended_action","evidence_id","priority"
"82","소화기/감염","지아르디아 의심 설사","[""지아르디아"", ""설사"", ""점액변"", ""악취"", ""물변"", ""복부 불편"", ""오염된 물"", ""웅덩이물""]","급성 설사, 점액성/악취성 묽은 변, 오염된 물/흙 노출이 언급된 경우","주의","0","감염성 설사 가능성이 있어 대변 상태와 노출 이력을 정리해 수의사 상담 또는 분변검사를 문의하세요.","86","55"
"83","감염/응급","디스템퍼 의심","[""디스템퍼"", ""미접종"", ""어린 강아지"", ""눈곱"", ""콧물"", ""신경증상"", ""발작"", ""마비""]","어린 강아지/미접종견에서 눈·코 분비물 또는 신경 증상이 함께 언급된 경우","위험","1","전염성 감염과 관련된 위험 신호일 수 있으므로 백신 여부와 증상을 정리해 즉시 병원에 문의하세요.","86","90"
"84","감염/응급","디스템퍼 신경증상","[""디스템퍼"", ""발작"", ""마비"", ""비틀거림"", ""근육떨림"", ""신경증상"", ""걷지 못해""]","디스템퍼 의심과 신경 증상이 함께 언급된 경우","위험","1","발작·마비·비틀거림은 위험 신호일 수 있으므로 즉시 병원으로 이동하세요.","88","99"
"85","중독/응급","남조류 노출 의심","[""남조류"", ""녹조"", ""청록조류"", ""cyanobacteria"", ""호수"", ""연못"", ""정체수"", ""수영"", ""물 마심"", ""구토"", ""발작"", ""호흡곤란""]","호수/연못/정체수/녹조 의심 물에서 수영하거나 마신 뒤 구토, 떨림, 호흡곤란, 발작 등 증상이 언급된 경우","위험","1","남조류 독성은 빠르게 치명적일 수 있으므로 깨끗한 물로 털을 헹구고 즉시 병원에 연락하세요.","88","100"
"86","중독/응급","과도한 물 섭취/물 중독 의심","[""물 많이 먹"", ""물 너무 많이"", ""물놀이"", ""수영장"", ""호수"", ""발작"", ""비틀"", ""이상행동"", ""멍해""]","물놀이 후 많은 물 섭취와 비틀거림, 발작, 이상행동이 함께 언급된 경우","위험","1","물 중독 가능성이 있으므로 물놀이를 중단하고 즉시 동물병원에 연락하세요.","90","94"
"87","중독/응급","바닷물/소금물 중독 의심","[""바닷물"", ""소금물"", ""해변"", ""물설사"", ""근육떨림"", ""방향감각"", ""발작"", ""비틀""]","해변 물놀이 후 바닷물 섭취와 신경 증상 또는 심한 물설사가 언급된 경우","위험","1","바닷물/소금물 중독은 위험할 수 있으므로 신선한 물을 제공하고 즉시 병원에 문의하세요.","90","95"
"88","화학물질/응급","수영장 화학물질 노출","[""수영장"", ""염소"", ""chlorine"", ""pool shock"", ""화학물질"", ""입 화상"", ""호흡기"", ""쓰러짐""]","수영장 고농도 염소 노출, 농축 화학물질을 씹거나 삼킨 경우, 호흡기 자극/쓰러짐이 언급된 경우","위험","1","제품명과 노출 형태를 확인하고 즉시 병원 또는 독성 상담 기관에 연락하세요.","92","89"
"89","화학물질/응급","잔디/정원 제품 섭취","[""비료"", ""제초제"", ""살충제"", ""잔디관리"", ""정원제품"", ""ant bait"", ""snail bait"", ""곰팡이 비료"", ""봉지 뜯""]","잔디/정원 제품을 직접 먹었거나 제품 봉지를 뜯어 먹은 경우","위험","1","제품 라벨과 섭취량, 경과 시간을 확인해 독성 상담 또는 병원에 연락하세요.","92","90"
"90","중독/응급","코코아 멀치 섭취","[""코코아 멀치"", ""cocoa mulch"", ""멀치"", ""카카오 멀치"", ""초콜릿 냄새""]","코코아빈 멀치 또는 초콜릿 냄새가 나는 멀치 섭취가 언급된 경우","위험","1","코코아 멀치는 초콜릿처럼 독성이 있을 수 있으므로 섭취량과 시간을 확인해 병원에 문의하세요.","94","89"
"91","잇몸색/순환","비정상 잇몸색 위험","[""잇몸 하얘"", ""창백한 잇몸"", ""잇몸이 파래"", ""잇몸 보라"", ""잇몸 노래"", ""잇몸 빨개"", ""잇몸 갈색"", ""혀가 파래""]","잇몸색이 연어색이 아닌 비정상 색으로 언급된 경우","위험","1","잇몸색 이상은 건강 문제의 신호일 수 있으므로 밝은 곳에서 사진을 찍고 즉시 수의사에게 연락하세요.","95","95"
"92","탈수/순환","건조한 잇몸/CRT 지연","[""잇몸 건조"", ""잇몸 끈적"", ""재충혈"", ""2초"", ""탈수"", ""잇몸 마름""]","잇몸이 건조/끈적하거나 재충혈 시간이 2초 이상으로 언급된 경우","주의","0","탈수 또는 순환 문제 신호일 수 있으므로 물 섭취, 구토/설사 여부를 확인하고 병원 상담을 권장합니다.","94","70"
"93","호흡기","지속 재채기/동반 증상","[""재채기"", ""계속 재채기"", ""콧물"", ""코피"", ""코 아파"", ""얼굴 부음""]","재채기가 지속되거나 콧물, 코피, 코 통증, 얼굴 부종 등 동반 증상이 언급된 경우","주의","0","재채기 빈도와 동반 증상을 기록하고 수의사에게 상담하세요. 호흡곤란이 있으면 즉시 병원에 연락하세요.","96","55"
"94","호흡기","재채기+호흡곤란","[""재채기"", ""숨 못 쉬"", ""호흡곤란"", ""숨쉬기 힘들"", ""입 벌리고 숨"", ""잇몸 파래""]","재채기와 함께 호흡곤란 표현이 있는 경우","위험","1","호흡곤란은 응급 신호일 수 있으므로 즉시 동물병원에 연락하세요.","95","100"
"95","신경/눈","비자발적 안구 떨림","[""눈 떨림"", ""안구 떨림"", ""눈이 흔들"", ""nystagmus"", ""눈이 왔다갔다"", ""머리 기울"", ""비틀""]","머리가 가만히 있는데 눈 떨림이 새로 생겼거나 비틀거림/머리 기울임이 동반된 경우","위험","1","비자발적 안구 떨림은 즉시 수의사 상담이 필요한 신호입니다. 영상을 촬영해 병원에 연락하세요.","97","95"
"96","눈/시력","눈 혼탁/시력저하","[""눈이 뿌옇"", ""눈 흐림"", ""백내장"", ""시력"", ""부딪혀"", ""눈이 하얘"", ""눈이 파래""]","눈 색/혼탁 변화 또는 시력저하가 언급된 경우","주의","0","눈 변화는 원인이 다양하므로 사진과 증상 시작 시점을 기록해 수의사에게 상담하세요.","97","60"
"97","피부/혹","새로운 혹/멍울","[""혹"", ""멍울"", ""종양"", ""피부 혹"", ""덩어리"", ""만져져""]","새로운 혹이나 멍울이 언급된 경우","주의","0","새로운 혹은 겉보기와 달리 확인이 필요할 수 있으므로 사진, 크기, 위치를 기록해 병원 상담을 권장합니다.","99","50"
"98","피부/혹","혹 변화/출혈/진물","[""혹 커져"", ""멍울 커져"", ""피 나"", ""진물"", ""덜 움직"", ""통증"", ""걷기 불편"", ""움직임 제한""]","기존 혹이 커지거나 출혈/진물/통증/움직임 제한이 언급된 경우","위험","1","혹의 빠른 변화나 출혈·진물·통증은 위험 신호일 수 있으므로 병원에 연락하세요.","98","85"
"99","중독/식품","양파/마늘/리크 섭취(PDSA)","[""양파"", ""마늘"", ""리크"", ""부추"", ""파"", ""대파"", ""쪽파"", ""차이브"", ""allium""]","양파/마늘/리크/부추류 또는 이를 포함한 음식 섭취가 언급된 경우","위험","1","Allium류는 개에게 독성이 있을 수 있으므로 섭취량과 시간을 확인하고 즉시 병원에 연락하세요.","100","100"
"100","알레르기/응급","아나필락시스 의심","[""얼굴 부음"", ""주둥이 부음"", ""두드러기"", ""벌 쏘"", ""알레르기"", ""토하고 설사"", ""호흡곤란"", ""쓰러짐""]","알레르기 노출 후 얼굴/주둥이 부종·두드러기·구토/설사·불안 또는 호흡곤란/붕괴가 언급된 경우","위험","1","심한 알레르기 반응은 빠르게 악화될 수 있으므로 즉시 병원에 연락하세요.","102","100"
"101","외상/출혈","교통사고/심한 출혈","[""차에 치"", ""교통사고"", ""피가 분출"", ""피가 많이"", ""출혈 안 멈"", ""붕대가 젖"", ""물림"", ""관통"", ""싸움""]","교통사고, 심한 출혈, 관통상, 심한 물림/싸움 상처가 언급된 경우","위험","1","깨끗한 천으로 압박하고 즉시 동물병원에 연락/이동하세요.","103","100"
"102","열사병/호흡","열사병/푸른 잇몸","[""열사병"", ""더위"", ""의식 잃"", ""쓰러짐"", ""파란 잇몸"", ""혀가 파래"", ""호흡곤란"", ""심한 헐떡""]","더위 노출 후 의식저하, 쓰러짐, 푸른 잇몸, 호흡곤란 또는 심한 헐떡임이 언급된 경우","위험","1","고온 노출 뒤 체온 조절 또는 호흡과 관련된 위험 신호가 있으므로 즉시 병원에 연락하세요.","104","100"
"103","식물/중독","독성 식물 섭취","[""백합"", ""필로덴드론"", ""협죽도"", ""알로에"", ""국화"", ""히아신스"", ""튤립"", ""옥수"", ""사고야자"", ""수선화"", ""아스파라거스 펀"", ""식물 먹""]","독성 식물 또는 이름 모를 식물 섭취가 언급된 경우","위험","1","식물 이름이나 사진, 섭취량과 시간을 확인하고 수의사 또는 독성 상담 기관에 연락하세요.","105","90"
"104","일반 이상 증상","하루 이상 지속되는 이상 증상","[""식욕없"", ""안 먹"", ""무기력"", ""활동 줄"", ""구토"", ""설사"", ""기침"", ""재채기"", ""분비물"", ""가려움"", ""절뚝"", ""절뚝거"", ""쩔뚝"", ""쩔뚝거"", ""다리를 절"", ""다리 절"", ""절어요"", ""삐끗"", ""걷기 힘들"", ""걷기 어려""]","식욕저하/무기력/구토/설사/기침/분비물/피부/절뚝임이 하루 이상 지속된다고 언급된 경우","주의","0","증상이 하루나 이틀 이상 지속되면 병원 상담을 권장합니다. 시작 시점과 빈도를 기록하세요.","106","40"
"105","빈혈/쇼크","창백한 잇몸+허약/출혈","[""창백한 잇몸"", ""하얀 잇몸"", ""심박"", ""피 많이"", ""출혈"", ""쇼크"", ""쓰러짐""]","창백한 잇몸과 심한 출혈, 빠른 심박, 쓰러짐 등이 함께 언급된 경우","위험","1","창백한 잇몸과 출혈/쓰러짐은 위험 신호일 수 있으므로 즉시 병원에 연락하세요.","107","100"
"106","응급처치","즉시 진료 응급 예시","[""중독"", ""심한 통증"", ""출혈"", ""호흡곤란"", ""눈 부상"", ""골절"", ""다리 못 움직""]","중독, 심한 통증, 조절 안 되는 출혈, 호흡곤란, 눈 부상, 골절 의심이 언급된 경우","위험","1","즉시 진료가 필요한 응급 상황일 수 있으므로 병원으로 이동하세요.","109","95"
"107","질식","질식 의심","[""질식"", ""기도폐쇄"", ""하임리히"", ""목에 걸"", ""목 걸"", ""켁켁"", ""캑캑"", ""컥컥"", ""침흘림"", ""구역질"", ""입을 긁"", ""입 벌리고"", ""숨쉬기 힘들"", ""숨 못 쉬""]","질식 증상 또는 목에 걸림 표현이 언급된 경우","위험","1","질식은 응급일 수 있으므로 즉시 병원에 연락하세요. 물릴 수 있으니 무리하게 입 안에 손을 넣지 마세요.","110","100"
"108","부상/주의","경미한 절뚝임/삠","[""절뚝"", ""절뚝거"", ""쩔뚝"", ""쩔뚝거"", ""다리를 절"", ""다리 절"", ""절어요"", ""삐었"", ""삐끗"", ""삐끗했"", ""부었"", ""발톱 부러"", ""멍"", ""통증"", ""다리 아파"", ""다리 만지"", ""만지면 아파"", ""만지면 피"", ""만지면 소리"", ""소리 질러""]","경미~중등도 통증/부종/절뚝임이 있으나 심한 출혈·골절 의심·이동 불가가 없는 경우","주의","0","활동을 제한하고 통증/부종/절뚝임이 지속되면 병원에 문의하세요.","111","45"
"109","이물질/알레르기","끈/날카로운 물체 삼킴","[""끈 삼"", ""실 삼"", ""낚싯줄"", ""스타킹"", ""날카로운"", ""유리"", ""바늘"", ""반복 구토"", ""배 아파"", ""변을 못""]","긴 끈/날카로운 물체를 삼켰거나 반복 구토, 복부 압통, 배변 중단이 언급된 경우","위험","1","장 손상 위험이 있으므로 입 밖의 끈을 당기지 말고 즉시 병원에 연락하세요.","112","100"
"110","곤충쏘임/알레르기","곤충 쏘임 후 머리/목 부종","[""벌 쏘"", ""벌레 물"", ""머리 부음"", ""목 부음"", ""혀"", ""입천장"", ""호흡곤란""]","곤충 쏘임 후 머리/목의 큰 부종, 혀/입천장 쏘임, 호흡곤란이 언급된 경우","위험","1","기도를 막을 수 있는 부종은 응급일 수 있으므로 즉시 병원에 연락하세요.","112","95"
"111","저체온/응급","저체온 의심","[""저체온"", ""추위"", ""동사"", ""얼어"", ""떨림"", ""느린 맥박"", ""쓰러짐"", ""혼란""]","추위 노출 후 느린 맥박, 얕은 호흡, 혼란, 쓰러짐 등 저체온 증상이 언급된 경우","위험","1","동물이 젖어 있으면 건조시키고, 따뜻한(뜨겁지 않은) 것으로 감싸면서 즉시 병원에 연락하세요. 얼음이나 뜨거운 물은 사용하지 마세요.","113","90"
"112","외상/목졸림","목줄/끈 목 졸림 부상","[""목줄"", ""목 졸림"", ""끈에 걸림"", ""교살"", ""목 부상"", ""목 외상""]","목줄이나 끈으로 인한 목 졸림 부상이 언급된 경우","위험","1","목줄을 제거하고 임시 하네스나 리드줄로 통제하면서 즉시 병원으로 이동하세요.","115","90"
"113","외상/상처","응급 상처 기준","[""깊은 상처"", ""상처 깊"", ""유리 박힘"", ""이물질 박힘"", ""눈 다침"", ""화상"", ""물림"", ""물렸"", ""감염"", ""고름"", ""상처가 곪"", ""상처 냄새"", ""피 안 멈"", ""피가 계속""]","깊은 상처, 이물 박힘, 눈·화상 손상, 물림, 고름·감염, 출혈 지속이 언급된 경우","위험","1","상처가 깊거나 물림·감염·고름·이물 박힘·눈/화상 손상이 의심되면 즉시 병원에 연락하세요.","116","100"
"114","외상/주의","작은 상처/찰과상 관리","[""상처"", ""작은 상처"", ""살짝 긁"", ""찰과상"", ""피 조금"", ""피가 나"", ""피났"", ""피 나"", ""발 상처"", ""발바닥 상처"", ""발바닥 피"", ""가벼운 상처"", ""상처 작"", ""외상"", ""출혈""]","작고 피가 거의 나지 않으며 활력 저하·심한 통증·깊은 상처가 없는 경우 또는 보호자가 외상/출혈 동반 상처를 문의한 경우","주의","0","깨끗한 물 또는 식염수로 부드럽게 씻고 핥지 못하게 하며, 붉어짐·부기·고름·통증이 보이면 병원에 문의하세요.","117","35"
"115","출혈/외상","심한 외부 출혈","[""피가 많이"", ""출혈 심"", ""피 안 멈"", ""피가 계속"", ""붕대 젖"", ""수건 젖"", ""분출""]","상처에서 피가 많이 나거나 압박해도 멈추지 않는 출혈이 언급된 경우","위험","1","깨끗한 천으로 직접 압박하고, 피가 밴 천은 떼지 말고 덧댄 뒤 즉시 병원으로 이동하세요.","118","100"
"116","출혈/내출혈","내부 출혈 의심","[""내출혈"", ""창백한 잇몸"", ""하얀 잇몸"", ""배 부음"", ""복부 팽만"", ""차가운 발"", ""쓰러짐"", ""호흡곤란"", ""멍""]","외상 후 창백한 잇몸, 쓰러짐, 차가운 말단, 멍, 호흡곤란, 복부 팽만 등이 언급된 경우","위험","1","내부 출혈은 생명을 위협할 수 있으므로 따뜻하게 유지하며 즉시 병원으로 이동하세요.","119","100"
"117","외상/물림","물림 상처 응급","[""물림"", ""물렸"", ""개한테 물"", ""고양이한테 물"", ""싸움"", ""물린 상처"", ""물린 자국""]","개나 고양이 등 동물에게 물렸거나 공격받은 상처가 언급된 경우","위험","1","물림 상처는 겉보기보다 깊거나 감염 위험이 크므로 즉시 병원에 연락하고 확인받으세요.","120","100"
"118","외상/뱀물림","뱀 물림 의심","[""뱀"", ""뱀 물"", ""독사"", ""물린 후 부음"", ""얼굴 부음"", ""목 부음"", ""호흡 문제""]","뱀 또는 독사 물림 의심, 물린 뒤 부기나 통증·호흡 문제 언급","위험","1","뱀 물림은 응급입니다. 움직임을 줄이고 즉시 가까운 동물병원으로 이동하세요.","121","100"
"119","외상/입상처","가벼운 입/입술 베임","[""입 베임"", ""입술 베임"", ""입안 베임"", ""입에 작은 상처"", ""입술 상처"", ""입안 상처"", ""피 거의 안"", ""피 안 나"", ""피 멈춤"", ""가벼운 입 상처""]","입·입술의 작은 베임이나 긁힘이며 피가 거의 없거나 멈춘 경우","주의","0","입이나 입술 상처를 부드럽게 확인하고, 통증·부기·출혈·식욕저하가 있거나 판단이 어렵다면 병원에 문의하세요.","122","55"
"120","외상/입상처","입/입술 큰 베임 또는 출혈 지속","[""입 피가 계속"", ""입에서 피가 많이"", ""입 피 많이"", ""입술 피가 계속"", ""혀 찢어짐"", ""입 크게 베임"", ""입술 크게 베임"", ""입안 깊은 상처"", ""입 관통"", ""입 이물 박힘"", ""삼키기 어려움"", ""호흡 이상""]","입·입술·혀 상처에서 출혈 지속, 많은 출혈, 큰 베임, 깊은 상처, 호흡·삼킴 문제가 언급된 경우","위험","1","깨끗한 천으로 부드럽게 압박하고 즉시 동물병원으로 이동하세요.","123","100"
"121","외상/쇼크","외상 후 쇼크 의심","[""쇼크"", ""창백한 잇몸"", ""맥박 약"", ""심박 빨라"", ""쓰러짐"", ""의식저하"", ""대량 출혈"", ""두부 손상""]","외상 후 쇼크 의심 신호가 언급된 경우","위험","1","쇼크는 장기 손상으로 이어질 수 있으므로 즉시 병원으로 이동하세요.","124","100"
"122","외상/교통사고","교통사고/낙상/큰 외상","[""교통사고"", ""차에 치"", ""차에 부딪"", ""높은 곳"", ""떨어졌"", ""낙상"", ""큰 개한테 물"", ""큰 사고""]","교통사고, 높은 곳에서 떨어짐, 큰 동물 공격 등 큰 외상이 언급된 경우","위험","1","겉으로 멀쩡해 보여도 내부 손상 가능성이 있으므로 움직임을 최소화하고 병원으로 이동하세요.","125","100"
"123","외상/상처관리","상처 세척/초기 관리 문의","[""상처 씻"", ""상처 세척"", ""소독"", ""식염수"", ""물로 씻"", ""붕대"", ""오염""]","상처 세척이나 임시 붕대 등 초기 관리 방법을 묻는 경우","주의","0","출혈이 있으면 먼저 압박하고, 작고 얕은 상처는 물이나 식염수로 부드럽게 씻은 뒤 병원 상담 여부를 확인하세요.","126","55"
"124","외상/물림","작아 보이는 물림/구멍 상처","[""구멍 상처"", ""작은 구멍"", ""깊은 물림"", ""깊은 찔림"", ""작아 보이는 물림"", ""작게 물림"", ""피부가 뚫림"", ""물린 자국""]","물림 또는 구멍 상처가 작아 보여도 깊은 조직 손상 가능성이 언급된 경우","위험","1","물림이나 구멍 상처는 감염과 숨은 손상이 있을 수 있으므로 병원에서 확인받으세요.","127","100"
"125","외상/피부박리","피부 벗겨짐/깊은 조직 노출","[""피부 벗겨"", ""살이 벗겨"", ""피부박리"", ""살이 드러"", ""조직 보임"", ""피부 들김""]","피부가 크게 벗겨졌거나 깊은 조직이 보이는 손상이 언급된 경우","위험","1","깊은 조직이 보이면 깨끗한 드레싱으로 보호하고 즉시 병원으로 이동하세요.","128","100"
"126","외상/관통상","관통 이물질/가슴·배 상처","[""막대 박힘"", ""유리 박힘"", ""화살"", ""가슴에 박"", ""배에 박"", ""복부 상처"", ""관통"", ""빼도 돼""]","두부·가슴·복부 관통 이물 또는 제거 여부를 묻는 경우","위험","1","박힌 물체는 빼지 말고 흔들리지 않게 지지한 뒤 즉시 병원으로 이동하세요.","129","100"
"127","부상/주의","발톱 출혈/가벼운 멍/곤충쏘임","[""발톱 부러"", ""발톱 피"", ""멍"", ""벌에 물"", ""벌 쏘"", ""부음"", ""절뚝""]","발톱 출혈, 경미한 멍/타박, 국소적인 곤충 쏘임이 있고 호흡곤란·머리/목 부종이 없는 경우","주의","0","활동을 제한하고 부기·통증·절뚝임을 관찰하세요. 머리/목 부종이나 호흡곤란이 있으면 즉시 병원에 연락하세요.","130","45"
"128","외상/상처관리","상처 소독제 사용 금지","[""알코올"", ""과산화수소"", ""소독약"", ""비누"", ""샴푸"", ""티트리"", ""상처에 발라"", ""상처 소독""]","상처에 알코올, 과산화수소, 비누, 허브 제품 등을 사용하려는 경우","주의","0","상처는 물 또는 식염수로만 부드럽게 씻고, 알코올·과산화수소·비누·티트리 오일 등은 수의사 지시 없이 사용하지 마세요.","131","70"
"129","출혈/외상","출혈 10~15분 이상 지속/흉부·복부 상처","[""10분"", ""15분"", ""피 안 멈"", ""발바닥 찢"", ""피부 찢"", ""가슴 상처"", ""배 상처"", ""흉부 상처"", ""복부 상처""]","출혈이 10~15분 이상 멈추지 않거나 흉부·복부 상처, 숨쉴 때 공기 빠지는 소리, 깊은 이물질이 언급된 경우","위험","1","깨끗한 천으로 압박하고, 흉부/복부 상처나 멈추지 않는 출혈은 즉시 응급병원으로 이동하세요.","132","100"
